0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0,150,300,450,600,77,227,377,527,677,154,304,454,604,754,231,381,531,681,831,258,513,588,122,182,272,332,422,482,572,632,199,259,349,409,499,559,649,709,276,336,426,486,576,636,726,786,288
2,150,0,150,300,450,227,77,227,377,527,304,154,304,454,604,381,231,381,531,681,408,515,438,182,122,122,182,272,332,422,482,259,199,199,259,349,409,499,559,336,276,276,336,426,486,576,636,438
3,300,150,0,150,300,377,227,77,227,377,454,304,154,304,454,531,381,231,381,531,558,365,288,332,272,182,122,122,182,272,332,409,349,259,199,199,259,349,409,486,426,336,276,276,336,426,486,588
4,450,300,150,0,150,527,377,227,77,227,604,454,304,154,304,681,531,381,231,381,708,515,438,482,422,332,272,182,122,122,182,559,499,409,349,259,199,199,259,636,576,486,426,336,276,276,336,738
5,600,450,300,150,0,677,527,377,227,77,754,604,454,304,154,831,681,531,381,231,858,665,588,632,572,482,422,332,272,182,122,709,649,559,499,409,349,259,199,786,726,636,576,486,426,336,276,888
6,77,227,377,527,677,0,150,300,450,600,77,227,377,527,677,154,304,454,604,754,181,436,511,45,105,195,255,345,405,495,555,122,182,272,332,422,482,572,632,199,259,349,409,499,559,649,709,211
7,227,77,227,377,527,150,0,150,300,450,227,77,227,377,527,304,154,304,454,604,331,438,361,105,45,45,105,195,255,345,405,182,122,122,182,272,332,422,482,259,199,199,259,349,409,499,559,361
8,377,227,77,227,377,300,150,0,150,300,377,227,77,227,377,454,304,154,304,454,481,288,211,255,195,105,45,45,105,195,255,332,272,182,122,122,182,272,332,409,349,259,199,199,259,349,409,511
9,527,377,227,77,227,450,300,150,0,150,527,377,227,77,227,604,454,304,154,304,631,438,361,405,345,255,195,105,45,45,105,482,422,332,272,182,122,122,182,559,499,409,349,259,199,199,259,661
10,677,527,377,227,77,600,450,300,150,0,677,527,377,227,77,754,604,454,304,154,781,588,511,555,495,405,345,255,195,105,45,632,572,482,422,332,272,182,122,709,649,559,499,409,349,259,199,811
11,154,304,454,604,754,77,227,377,527,677,0,150,300,450,600,77,227,377,527,677,104,359,434,122,182,272,332,422,482,572,632,45,105,195,255,345,405,495,555,122,182,272,332,422,482,572,632,134
