Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,624,,0.9991454086967738,,0.9989759905572572,,,0.9996251659490926,0.9997096588460419,0.999640818052536,,,0.35856481481481484,0.30300925925925926,0.3516203703703703,,,1.549,1.3090000000000002,1.519,,00:20:15,,1.4589999999999999,,,624,1
2,,624,,0.9976412955207993,,0.9979530297098524,,,0.9992504723987506,0.9994194019900692,0.9992817651167433,,,0.35856481481481484,0.30300925925925926,0.3516203703703703,,,1.549,1.3090000000000002,1.519,,00:20:15,,1.4589999999999999,,,624,2
3,,657,,0.9962403561913455,,0.9969036589807123,,,0.9989028457969059,0.9988553192924854,0.99914231629195,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,1
4,,590,,0.9948444078625583,,0.9958497761096781,,,0.9985553401299596,0.9987225003462278,0.998566189666725,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,1
5,,657,,0.9933183370739552,,0.9948026170004219,,,0.99820795535584,0.9981588109871746,0.9984268406998087,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,2
6,,590,,0.9919051537029867,,0.9937509552589164,,,0.9978606914324899,0.9980260846564314,0.9978511266329665,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,2
7,,657,,0.9904048883740043,,0.9927060031084061,,,0.997513548317867,0.9974627883616316,0.99771187745242,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,3
8,,590,,0.9889745835295195,,0.9916565578152481,,,0.9971665259699432,0.9973301545818213,0.9971365756485318,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,3
9,,657,,0.9874999849540614,,0.9906138079721682,,,0.9968196243467055,0.9967672510771886,0.9969974261828991,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,4
10,,590,,0.9860526716854405,,0.9895665744560436,,,0.9964728434061552,0.9966347097837749,0.9964225363467479,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,4
11,,657,,0.9846036017504244,,0.988526022278882,,,0.9961261831063084,0.9960721987954141,0.9962834865246242,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,5
12,,590,,0.9831393925898327,,0.98748099587832,,,0.9957796434051956,0.9959397499239055,0.9957090083612037,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,5
13,,657,,0.9817157137729038,,0.9864426367353467,,,0.9954332242608622,0.9953776311781123,0.9955700581112351,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,6
14,,590,,0.9802347207373594,,0.9853998127987024,,,0.995086925631368,0.9952452746640627,0.994995991325751,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,6
15,,657,,0.9788362961046071,,0.9843636420679496,,,0.9947407474747872,0.9946835478873237,0.9948571405766352,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,7
16,,590,,0.9773386306980391,,0.983323015953381,,,0.9943946897492094,0.9945512836663315,0.9942834848745039,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,7
17,,657,,0.9759653239017266,,0.982289029022622,,,0.9940487524127376,0.9939899485853245,0.994144733554989,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,8
18,,590,,0.9744510971170225,,0.9812505960980699,,,0.9937029354234901,0.993857776593033,0.9935714886418378,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,8
19,,657,,0.9731027723933203,,0.9802187883647981,,,0.9933572387395996,0.993296832934626,0.9934328366807236,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,9
20,,590,,0.9715720947143712,,0.9791825440079663,,,0.9930116623192133,0.9931647531067237,0.9928600022623908,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,9
21,,657,,0.9702486168811015,,0.9781529108793753,,,0.9926662061204933,0.992604200597975,0.9927214495885275,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,10
22,,590,,0.9687015982848348,,0.9771188504777089,,,0.9923208701016156,0.9924722128701952,0.9921490253710619,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,10
23,,657,,0.9674028327392232,,0.9760913873706721,,,0.9919756542207717,0.9919120512383536,0.9920105719133511,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,11
24,,590,,0.9658395826976337,,0.9750595063213376,,,0.9916305584361665,0.9917801555464739,0.9914385576030121,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,11
25,,657,,0.9645653954140693,,0.9740342086623877,,,0.9912855827060204,0.9912203845189785,0.9913002032904062,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,12
