Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,730,,0.9995778382929795,,0.9994974686722973,,,0.9997865429240929,0.9998820590389154,0.9998287847978848,,,0.4210648148148148,0.23263888888888884,0.33773148148148147,,,1.819,1.0050000000000001,1.459,,00:19:49,,1.4276666666666664,,,730,1
2,,312,,0.9989030748689396,,0.9990057418247501,,,0.9996932651083243,0.9997108640300857,0.9996012864518253,,,0.18402777777777776,0.33773148148148147,0.4488425925925925,,,0.795,1.459,1.9389999999999998,,00:19:24,,1.3976666666666666,,,312,1
3,,657,,0.9982517730577868,,0.9985142568940664,,,0.9995221024238856,0.9994833925153999,0.9995080259200652,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,1
4,,590,,0.9975169770493691,,0.9980230137612293,,,0.9993509690451005,0.9993901429828767,0.999280600558616,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,1
5,,657,,0.9968782316052844,,0.9975320123072804,,,0.9991798649669512,0.9991627444441933,0.9991873699461221,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,2
6,,590,,0.9961444466371717,,0.9970412524133205,,,0.9990087901844216,0.9990695248274075,0.9989600175458689,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,2
7,,657,,0.9955065800729129,,0.9965507339605075,,,0.9988377446924951,0.998842199241315,0.9988668168430426,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,3
8,,312,,0.9947767505377842,,0.9960604568300593,,,0.9987445553974486,0.9986711822722907,0.9986395373805782,,,0.18402777777777776,0.33773148148148147,0.4488425925925925,,,0.795,1.459,1.9389999999999998,,00:19:24,,1.3976666666666666,,,312,2
9,,657,,0.9940996305367353,,0.995570420903251,,,0.9985735551465346,0.9984439473239891,0.9985463665778241,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,4
10,,590,,0.9934564529261527,,0.9950806260614168,,,0.9984025841734632,0.9983507947693435,0.9983191600297489,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,3
11,,657,,0.9927318022119462,,0.9945910721859497,,,0.9982316424732216,0.9981236327211507,0.9982260191174747,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,5
12,,590,,0.9920895095796166,,0.9941017591583002,,,0.9980607300407978,0.9980305100511307,0.9979988854603973,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,4
13,,657,,0.9913658559463282,,0.9936126868599768,,,0.9978898468711804,0.997803420879659,0.9979057744290136,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,6
14,,590,,0.9907244470745667,,0.9931238551725476,,,0.9977189929593597,0.9977103280846772,0.997678713639549,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,5
15,,657,,0.9900017891502667,,0.9926352639776381,,,0.9975481683003259,0.9974833117665471,0.9975856324794696,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,7
16,,590,,0.9893612628230672,,0.9921469131569323,,,0.9973773728890708,0.9973902488370193,0.997358644534241,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,6
17,,657,,0.9886395992377123,,0.9916588025921719,,,0.9972066067205864,0.9971633053488582,0.9972655932358827,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,8
18,,590,,0.9879999542407387,,0.9911709321651576,,,0.997035869789866,0.997070272275203,0.9970386781115208,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,7
19,,657,,0.9872792836261716,,0.9906833017577478,,,0.9968651620919037,0.9968434015936459,0.9969456566653039,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,9
20,,590,,0.9866405187467612,,0.9901959112518588,,,0.9966944836216945,0.996750398366285,0.9967188143384466,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,8
21,,312,,0.9859225106884003,,0.9897087605294657,,,0.9966014942880426,0.9965797395453703,0.9964920236266808,,,0.18402777777777776,0.33773148148148147,0.4488425925925925,,,0.795,1.459,1.9389999999999998,,00:19:24,,1.3976666666666666,,,312,3
22,,657,,0.9852811303345512,,0.9892218494726011,,,0.9964308609617698,0.996352980478308,0.9963990531820869,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,10
23,,590,,0.9845802046064682,,0.9887351779633556,,,0.9962602568505164,0.9962600230061244,0.9961723352279125,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,9
24,,657,,0.9839254357979542,,0.9882487458838783,,,0.9960896819492804,0.9960333366865016,0.9960793946095207,,,0.33773148148148147,0.4488425925925925,0.18402777777777776,,,1.4589999999999999,1.9389999999999998,0.795,,00:19:24,,1.3976666666666666,,,657,11
25,,590,,0.9832254745064674,,0.9877625531163755,,,0.9959191362530605,0.9959404090363584,0.9958527493895961,,,0.33773148148148147,0.18402777777777776,0.4488425925925925,,,1.4589999999999999,0.795,1.939,,00:19:24,,1.3976666666666666,,,590,10
