Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,3778,,0.8716290485565019,,0.43559520938116425,,,0.9998222010497739,0.9498014270957379,0.8999372893480188,0.8497541324037315,0.799817619186275,0.7499477411233489,,,0.2247685185185185,0.26041666666666663,0.10671296296296295,0.3168981481481481,0.2613425925925925,0.10671296296296295,,,0.971,1.125,0.46099999999999997,1.369,1.129,0.461,,00:12:46,,0.9193333333333333,,,3778,1
2,,3778,,0.8713851585768503,,0.4351408930990031,,,0.9996444337120146,0.9496028956980005,0.8998745830656217,0.8495083359261395,0.7996352799510014,0.7498954858880181,,,0.2247685185185185,0.26041666666666663,0.10671296296296295,0.3168981481481481,0.2613425925925925,0.10671296296296295,,,0.971,1.125,0.46099999999999997,1.369,1.129,0.461,,00:12:46,,0.9193333333333333,,,3778,2
3,,4079,,0.8670852938646036,,0.43468705065879376,,,0.9994354839241919,0.9494340573000137,0.899669433242234,0.8492626105466523,0.799579562562387,0.7498432342937539,,,0.26041666666666663,0.2247685185185185,0.2613425925925925,0.3168981481481481,0.10671296296296295,0.10671296296296295,,,1.125,0.971,1.129,1.369,0.46099999999999997,0.461,,00:12:46,,0.9193333333333334,,,4079,1
4,,4228,,0.8300899184256847,,0.4342336815663295,,,0.9992577853443314,0.9492176091050776,0.8996067456236493,0.8490850941855393,0.7995238490560769,0.7496263376424669,,,0.2247685185185185,0.2613425925925925,0.10671296296296295,0.26041666666666663,0.10671296296296295,0.3168981481481481,,,0.971,1.129,0.46099999999999997,1.125,0.461,1.369,,00:12:46,,0.9193333333333333,,,4228,1
5,,4228,,0.8298576514840896,,0.4337807853279189,,,0.9990801183590919,0.949001210255139,0.899544062373044,0.8489076149296257,0.7994681394318003,0.7494095037298367,,,0.2247685185185185,0.2613425925925925,0.10671296296296295,0.26041666666666663,0.10671296296296295,0.3168981481481481,,,0.971,1.129,0.46099999999999997,1.125,0.461,1.369,,00:12:46,,0.9193333333333333,,,4228,2
6,,4400,,0.8257117595211904,,0.4333283614503856,,,0.9988712865267836,0.9487848607389482,0.8992838638596874,0.8488484643185101,0.7993259948358701,0.7493572859980813,,,0.26041666666666663,0.2613425925925925,0.3168981481481481,0.10671296296296295,0.2247685185185185,0.10671296296296295,,,1.125,1.129,1.369,0.461,0.971,0.46099999999999997,,00:12:46,,0.9193333333333334,,,4400,1
7,,3778,,0.8701788104772916,,0.4328764094410675,,,0.9986936882606282,0.9485865418280884,0.8992212031069997,0.8486029298108417,0.7991437676791577,0.7493050719047791,,,0.2247685185185185,0.26041666666666663,0.10671296296296295,0.3168981481481481,0.2613425925925925,0.10671296296296295,,,0.971,1.125,0.46099999999999997,1.369,1.129,0.461,,00:12:46,,0.9193333333333333,,,3778,3
8,,3778,,0.8699353262878512,,0.43242492880781636,,,0.9985161215712581,0.9483882643706625,0.8991585467204194,0.8483574663255018,0.7989615820658669,0.7492528614496768,,,0.2247685185185185,0.26041666666666663,0.10671296296296295,0.3168981481481481,0.2613425925925925,0.10671296296296295,,,0.971,1.125,0.46099999999999997,1.369,1.129,0.461,,00:12:46,,0.9193333333333333,,,3778,4
9,,4228,,0.8289740805917096,,0.43197391905899746,,,0.998338586453059,0.9481720545914333,0.8990958946996424,0.8481801391613539,0.7989059116195121,0.7490361355672747,,,0.2247685185185185,0.2613425925925925,0.10671296296296295,0.26041666666666663,0.10671296296296295,0.3168981481481481,,,0.971,1.129,0.46099999999999997,1.125,0.461,1.369,,00:12:46,,0.9193333333333333,,,4228,3
10,,4284,,0.8474477968107195,,0.43152337970348836,,,0.9981299096187971,0.9478977901397729,0.8990332470443644,0.8479867744313967,0.7987638669870968,0.7489839438512536,,,0.26041666666666663,0.3168981481481481,0.10671296296296295,0.2613425925925925,0.2247685185185185,0.10671296296296295,,,1.125,1.369,0.46099999999999997,1.129,0.971,0.461,,00:12:46,,0.9193333333333333,,,4284,1
